ZINC00043096,C.3,C1,-0.1540,methyl
ZINC00043096,C.3,C2,0.0638,methylene
ZINC00043096,C.3,C4,0.0669,methylene
ZINC00090377,C.3,C7,0.2070,methylene
ZINC00110752,C1,C.3,0.0964,methyl
ZINC00110752,C5,C.3,0.5577,methyl
ZINC00110752,C13,C.3,-0.1076,methylene
ZINC00110752,C14,C.3,-0.1680,methylene
ZINC00151432,C1,C.3,0.0213,methyl
ZINC00163158,C9,C.3,0.0517,methylene
ZINC00172300,C9,C.3,-0.0669,methylene
ZINC00247713,C1,C.3,-0.1419,methyl
ZINC00247713,C17,C.3,-0.2122,methyl
ZINC00247713,C18,C.3,-0.1950,methyl
ZINC00247713,C9,C.3,0.1649,methylene
ZINC00269558,C5,C.3,-0.1002,methylene
ZINC00269558,C6,C.3,-0.1361,methylene
ZINC00269558,C7,C.3,-0.1209,methylene
ZINC00269558,C8,C.3,-0.1257,methylene
ZINC00269558,C9,C.3,-0.1136,methylene
ZINC00269558,C1,C.3,-0.1392,methyl
ZINC00269558,C18,C.3,-0.1353,methyl
ZINC00328734,C1,C.3,-0.1260,methyl
ZINC00328734,C8,C.3,-0.1215,methyl
ZINC00328734,C17,C.3,0.0237,methyl
ZINC00358790,C1,C.3,-0.1346,methyl
ZINC00358790,C9,C.3,0.1095,methylene
ZINC00358790,C10,C.3,-0.1311,methylene
ZINC00358790,C11,C.3,-0.1188,methylene
ZINC00358790,C12,C.3,-0.1195,methylene
ZINC00358790,C13,C.3,-0.1496,methylene
ZINC00358790,C14,C.3,0.0977,methylene
ZINC00412788,C1,C.3,-0.1492,methyl
ZINC00412788,C2,C.3,-0.0833,methylene
ZINC00412788,C12,C.3,0.1714,methylene
ZINC00412788,C13,C.3,0.1470,methylene
ZINC00412788,C21,C.3,-0.1816,methyl
ZINC00454634,C1,C.3,-0.1538,methyl
ZINC00454634,C2,C.3,-0.1206,methylene
ZINC00454634,C3,C.3,-0.0938,methylene
ZINC00454634,C13,C.3,-0.1051,methyl
